T^{-1},T,E,M,C_v,Chi
0.687285,1.455000,-0.979688,0.247219,0.148333,988.444199
0.684932,1.460000,-0.976700,0.246621,0.202485,979.058540
0.682594,1.465000,-0.980765,0.247394,0.168362,983.942288
0.680272,1.470000,-0.980655,0.247398,0.177960,980.374142
0.677966,1.475000,-0.976923,0.246903,0.208283,969.437226
0.675676,1.480000,-0.974643,0.246450,0.222889,961.616795
0.673401,1.485000,-0.974350,0.246448,0.198730,957.732145
0.671141,1.490000,-0.976013,0.246730,0.173100,957.814652
0.668896,1.495000,-0.970528,0.245056,0.267010,944.207676
0.666667,1.500000,-0.976160,0.246802,0.158474,951.680037
0.664452,1.505000,-0.972615,0.246157,0.218743,941.604139
0.662252,1.510000,-0.975508,0.246662,0.214468,944.189067
0.660066,1.515000,-0.980078,0.247233,0.150177,950.118472
0.657895,1.520000,-0.976250,0.246781,0.206934,939.433568
0.655738,1.525000,-0.966355,0.245226,0.259295,917.070648
0.653595,1.530000,-0.976385,0.246833,0.177219,933.501351
0.651466,1.535000,-0.968925,0.245684,0.259224,916.051487
0.649351,1.540000,-0.974615,0.246429,0.173825,924.057061
0.647249,1.545000,-0.972335,0.246094,0.156930,916.615698
0.645161,1.550000,-0.965478,0.244927,0.240006,900.663756
0.643087,1.555000,-0.969470,0.245910,0.199564,905.159560
0.641026,1.560000,-0.964693,0.244967,0.316744,893.440633
0.638978,1.565000,-0.961880,0.244780,0.264649,885.061727
0.636943,1.570000,-0.968910,0.245706,0.216146,895.539690
0.634921,1.575000,-0.964653,0.244922,0.217762,884.729232
0.632911,1.580000,-0.957118,0.243764,0.307950,867.983106
0.630915,1.585000,-0.966213,0.245324,0.197079,881.960367
0.628931,1.590000,-0.962623,0.244714,0.235788,872.583465
0.626959,1.595000,-0.965180,0.244844,0.233295,874.728132
0.625000,1.600000,-0.954168,0.243391,0.311715,851.695062
0.623053,1.605000,-0.961515,0.244577,0.239783,862.384351
0.621118,1.610000,-0.962950,0.244863,0.234233,862.305124
0.619195,1.615000,-0.962375,0.244513,0.241871,858.722731
0.617284,1.620000,-0.959168,0.244276,0.224246,850.073310
0.615385,1.625000,-0.961905,0.244634,0.270070,852.540035
0.613497,1.630000,-0.966610,0.245323,0.210310,858.405886
0.611621,1.635000,-0.966585,0.245420,0.228436,855.718408
0.609756,1.640000,-0.957763,0.243991,0.269977,837.298641
0.607903,1.645000,-0.957770,0.244044,0.342585,834.864552
0.606061,1.650000,-0.957753,0.244029,0.281571,832.212002
0.604230,1.655000,-0.960208,0.244219,0.281630,834.163398
0.602410,1.660000,-0.958060,0.244192,0.270525,827.677304
0.600601,1.665000,-0.954030,0.243591,0.336904,818.181648
0.598802,1.670000,-0.955565,0.243614,0.309674,818.487460
0.597015,1.675000,-0.952070,0.243013,0.339099,810.007713
0.595238,1.680000,-0.961970,0.244564,0.217854,824.722706
0.593472,1.685000,-0.954673,0.243257,0.232278,809.626450
0.591716,1.690000,-0.953280,0.243383,0.259454,804.706138
0.589971,1.695000,-0.955855,0.243578,0.307672,806.967266
0.588235,1.700000,-0.948220,0.242282,0.298052,791.490841
0.586510,1.705000,-0.949193,0.242358,0.263767,790.811192
0.584795,1.710000,-0.949163,0.242547,0.335015,788.484422
0.583090,1.715000,-0.947995,0.242335,0.400231,784.330260
0.581395,1.720000,-0.947905,0.242444,0.368394,781.791419
0.579710,1.725000,-0.944398,0.241791,0.300750,773.549407
0.578035,1.730000,-0.949853,0.242591,0.279724,780.478891
0.576369,1.735000,-0.950493,0.243052,0.218014,779.040414
0.574713,1.740000,-0.945820,0.242149,0.410214,769.393731
0.573066,1.745000,-0.950415,0.242981,0.277845,774.581424
0.571429,1.750000,-0.949935,0.242840,0.242075,771.536991
0.569801,1.755000,-0.929428,0.238907,0.506936,736.396438
0.568182,1.760000,-0.937910,0.240711,0.483591,747.881632
0.566572,1.765000,-0.931633,0.239718,0.393986,735.403270
0.564972,1.770000,-0.928955,0.239291,0.443070,729.098257
0.563380,1.775000,-0.937283,0.241039,0.362164,740.156987
0.561798,1.780000,-0.929573,0.239039,0.614533,726.455856
0.560224,1.785000,-0.930938,0.239252,0.506146,726.418916
0.558659,1.790000,-0.928060,0.239015,0.387846,719.502909
0.557103,1.795000,-0.924488,0.237805,0.518854,712.352775
0.555556,1.800000,-0.929613,0.239106,0.339463,717.951389
0.554017,1.805000,-0.931040,0.239298,0.567457,718.650576
0.552486,1.810000,-0.933398,0.239995,0.351452,719.869978
0.550964,1.815000,-0.929183,0.239277,0.356852,711.282790
0.549451,1.820000,-0.925623,0.238819,0.428257,703.849861
0.547945,1.825000,-0.922015,0.237889,0.511130,696.622109
0.546448,1.830000,-0.922953,0.238041,0.417436,696.001485
0.544959,1.835000,-0.903753,0.234072,0.566416,665.435178
0.543478,1.840000,-0.915333,0.236810,0.457810,680.628988
0.542005,1.845000,-0.918065,0.236939,0.619105,683.377979
0.540541,1.850000,-0.908953,0.235158,0.274719,667.228746
0.539084,1.855000,-0.919285,0.237093,0.338731,681.057075
0.537634,1.860000,-0.907690,0.235243,0.516956,662.089976
0.536193,1.865000,-0.915798,0.237329,0.422366,671.981385
0.534759,1.870000,-0.906960,0.234766,0.553660,657.686932
0.533333,1.875000,-0.907368,0.234572,0.418148,656.393044
0.531915,1.880000,-0.917218,0.237594,0.279038,668.471104
0.530504,1.885000,-0.913140,0.236719,0.358082,660.866897
0.529101,1.890000,-0.910648,0.235637,0.621559,656.204699
0.527704,1.895000,-0.901048,0.234188,0.396417,639.943031
0.526316,1.900000,-0.915168,0.237200,0.362907,658.599177
0.524934,1.905000,-0.914575,0.236290,0.474395,656.537920
0.523560,1.910000,-0.899240,0.233986,0.523384,632.524944
0.522193,1.915000,-0.896003,0.232851,0.557755,626.531132
0.520833,1.920000,-0.897530,0.234074,0.567068,626.729843
0.519481,1.925000,-0.899813,0.234194,0.484216,628.311258
0.518135,1.930000,-0.887680,0.229205,0.706035,611.054543
0.516796,1.935000,-0.896670,0.233449,0.386167,620.504356
0.515464,1.940000,-0.896680,0.233450,0.557425,619.255524
0.514139,1.945000,-0.886405,0.230953,0.833323,604.088250
0.512821,1.950000,-0.887543,0.231739,0.582889,603.416709
0.511509,1.955000,-0.890788,0.232648,0.550344,606.192829
0.510204,1.960000,-0.899845,0.234143,0.473688,617.171712
0.508906,1.965000,-0.878443,0.229977,0.785403,586.802849
0.507614,1.970000,-0.883775,0.228848,0.403071,592.621114
0.506329,1.975000,-0.875150,0.229434,0.519569,578.846819
0.505051,1.980000,-0.875368,0.228512,0.476289,577.953625
0.503778,1.985000,-0.862368,0.224163,0.680665,560.286010
0.502513,1.990000,-0.893083,0.233193,0.342046,598.242569
0.501253,1.995000,-0.871680,0.227428,0.723584,569.345510
0.500000,2.000000,-0.878080,0.230144,0.799605,576.045653
0.498753,2.005000,-0.891065,0.233406,0.481695,591.105135
0.497512,2.010000,-0.884773,0.230159,0.529625,582.038905
0.496278,2.015000,-0.881040,0.230621,0.789451,575.721024
0.495050,2.020000,-0.874035,0.229399,0.544454,564.516120
0.493827,2.025000,-0.855103,0.224681,0.623818,539.115203
0.492611,2.030000,-0.869478,0.227152,0.876271,556.965547
0.491400,2.035000,-0.864048,0.225655,0.757643,548.496419
0.490196,2.040000,-0.864705,0.226905,0.519613,547.121860
0.488998,2.045000,-0.848598,0.222386,0.726230,526.208740
0.487805,2.050000,-0.871513,0.228308,0.662739,553.483276
0.486618,2.055000,-0.852858,0.224159,0.636746,528.505610
0.485437,2.060000,-0.841930,0.220773,0.977387,514.716604
0.484262,2.065000,-0.864698,0.227126,0.615276,540.633592
0.483092,2.070000,-0.857510,0.225688,0.516315,530.064537
0.481928,2.075000,-0.848700,0.223248,0.874265,518.789323
0.480769,2.080000,-0.839898,0.219183,0.699945,507.137862
0.479616,2.085000,-0.828883,0.218653,0.986354,492.598348
0.478469,2.090000,-0.816423,0.211961,1.315845,478.630225
0.477327,2.095000,-0.815578,0.210980,0.860028,475.809663
0.476190,2.100000,-0.805178,0.202391,1.250696,465.368243
0.475059,2.105000,-0.835130,0.219492,0.735941,495.052573
0.473934,2.110000,-0.823903,0.218724,0.949308,480.467684
0.472813,2.115000,-0.835285,0.218168,1.067389,494.061745
0.471698,2.120000,-0.831248,0.219380,0.521638,486.271776
0.470588,2.125000,-0.821853,0.217192,0.722205,474.584453
0.469484,2.130000,-0.825628,0.218073,0.686202,477.784526
0.468384,2.135000,-0.802188,0.206955,1.057772,452.412471
0.467290,2.140000,-0.792250,0.206129,0.692999,438.993855
0.466200,2.145000,-0.813425,0.214578,0.954255,461.248165
0.465116,2.150000,-0.828528,0.219909,0.793119,476.568803
0.464037,2.155000,-0.819048,0.217666,0.622910,464.236263
0.462963,2.160000,-0.791458,0.200419,1.004917,436.420286
0.461894,2.165000,-0.741488,0.180087,0.614334,383.683791
0.460829,2.170000,-0.807713,0.214879,0.911229,448.964528
0.459770,2.175000,-0.773380,0.199318,1.016356,412.979428
0.458716,2.180000,-0.754680,0.185256,1.028103,395.064768
0.457666,2.185000,-0.737713,0.176289,1.050183,378.050650
0.456621,2.190000,-0.737213,0.157210,2.184572,383.792276
0.455581,2.195000,-0.802630,0.212004,1.273446,439.620042
0.454545,2.200000,-0.813553,0.216628,0.702311,448.774122
0.453515,2.205000,-0.766320,0.199767,1.388140,400.223326
0.452489,2.210000,-0.774548,0.198062,2.213577,410.825271
0.451467,2.215000,-0.775875,0.203816,0.985062,407.015289
